classification_id,user_name,created_at,subject_ids,date_pub,normalised_date_pub,edition_statement,genre,FAST_genre_terms,FAST_subject_terms,status,comments,main_language,other_languages_summaries,summaries_language,translation,original_language,publisher,place_pub,country,retired,Image,title,BL record ID,BL shelfmark,Link to Explore,Link to digitised book,Topics from MARC record,Languages from MARC record,Genre terms from MARC record,Literary form terms from MARC record,Language of original from MARC record,Literary form/genre suggestions from Christin Hoene
258849534,3,2020-07-08 08:19:14 UTC,44331392,NONE,NONE,NONE,Fiction,655 7 $aPoetry$2fast$0(OCoLC)fst01423828,NONE,**Finished**,,,No,,No,,published by the author,Bury St. Edmunds,enk,"{'id': 62638916, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-03T15:28:14.387Z', 'updated_at': '2020-07-08T08:19:15.070Z', 'retired_at': '2020-07-08T08:19:15.060Z', 'subject_id': 44331392, 'retirement_reason': 'classification_count'}",vdc_00000002F970_title_page.jpg,Sonnets,014616869,Digital Store 11652.i.20,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014616869,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002F970,,English,,,,
268962022,4,2020-08-19 13:14:24 UTC,44360742,NONE,NONE,NONE,Fiction,655 7 $aPoetry$2fast$0(OCoLC)fst01423828,NONE,**Finished**,,,No,,No,,published by the author,Bury St. Edmunds,enk,"{'id': 62638916, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-03T15:28:14.387Z', 'updated_at': '2020-07-08T08:19:15.070Z', 'retired_at': '2020-07-08T08:19:15.060Z', 'subject_id': 44331392, 'retirement_reason': 'classification_count'}",vdc_00000002F970_title_page.jpg,Sonnets,014616869,Digital Store 11652.i.20,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014616869,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002F970,,English,,,,
234800294,9,2020-05-04 14:19:03 UTC,44324623,NONE,NONE,NONE,Fiction,655 7 $aPoetry$2fast$0(OCoLC)fst01423828,NONE,**Finished**,,,No,,No,,published by the author,Bury St. Edmunds,enk,"{'id': 62638916, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-03T15:28:14.387Z', 'updated_at': '2020-07-08T08:19:15.070Z', 'retired_at': '2020-07-08T08:19:15.060Z', 'subject_id': 44331392, 'retirement_reason': 'classification_count'}",vdc_00000002F970_title_page.jpg,Sonnets,014616869,Digital Store 11652.i.20,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014616869,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002F970,,English,,,,
234693774,13,2020-05-04 08:08:27 UTC,44351766,NONE,NONE,NONE,Fiction,655 7 $aPoetry$2fast$0(OCoLC)fst01423828,NONE,**Finished**,,,No,,No,,published by the author,Bury St. Edmunds,enk,"{'id': 62638916, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-03T15:28:14.387Z', 'updated_at': '2020-07-08T08:19:15.070Z', 'retired_at': '2020-07-08T08:19:15.060Z', 'subject_id': 44331392, 'retirement_reason': 'classification_count'}",vdc_00000002F970_title_page.jpg,Sonnets,014616869,Digital Store 11652.i.20,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014616869,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002F970,,English,,,,
241350031,8,2020-05-19 09:34:37 UTC,44341271,NONE,NONE,NONE,Fiction,655 7 $aPoetry$2fast$0(OCoLC)fst01423828,NONE,**Finished**,,,No,,No,,published by the author,Bury St. Edmunds,enk,"{'id': 62638916, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-03T15:28:14.387Z', 'updated_at': '2020-07-08T08:19:15.070Z', 'retired_at': '2020-07-08T08:19:15.060Z', 'subject_id': 44331392, 'retirement_reason': 'classification_count'}",vdc_00000002F970_title_page.jpg,Sonnets,014616869,Digital Store 11652.i.20,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014616869,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002F970,,English,,,,
234707160,36,2020-05-04 09:08:26 UTC,44316106,NONE,NONE,NONE,Fiction,655 7 $aPoetry$2fast$0(OCoLC)fst01423828,NONE,**Finished**,,,No,,No,,published by the author,Bury St. Edmunds,enk,"{'id': 62638916, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-03T15:28:14.387Z', 'updated_at': '2020-07-08T08:19:15.070Z', 'retired_at': '2020-07-08T08:19:15.060Z', 'subject_id': 44331392, 'retirement_reason': 'classification_count'}",vdc_00000002F970_title_page.jpg,Sonnets,014616869,Digital Store 11652.i.20,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014616869,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002F970,,English,,,,
258851391,3,2020-07-08 08:36:00 UTC,44378089,1879,1879,NONE,Fiction,655 7 $aFiction$2fast$0(OCoLC)fst01423787,NONE,**Finished**,NONE,,No,,No,,Chapman and Hall,London,enk,"{'id': 62692902, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-04T14:23:25.027Z', 'updated_at': '2020-07-08T08:36:00.707Z', 'retired_at': '2020-07-08T08:36:00.696Z', 'subject_id': 44378089, 'retirement_reason': 'classification_count'}",vdc_000000033150_title_page.jpg,Cousin Simon [A novel.],014818614,Digital Store 12641.c.24,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014818614,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000033150,,English,,,,Novels
268973527,4,2020-08-19 14:21:48 UTC,44334361,1879,1879,NONE,Fiction,655 7 $aFiction$2fast$0(OCoLC)fst01423787,NONE,**Finished**,NONE,,No,,No,,Chapman and Hall,London,enk,"{'id': 62692902, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-04T14:23:25.027Z', 'updated_at': '2020-07-08T08:36:00.707Z', 'retired_at': '2020-07-08T08:36:00.696Z', 'subject_id': 44378089, 'retirement_reason': 'classification_count'}",vdc_000000033150_title_page.jpg,Cousin Simon [A novel.],014818614,Digital Store 12641.c.24,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014818614,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000033150,,English,,,,Novels
234811931,9,2020-05-04 14:50:53 UTC,44326309,1879,1879,NONE,Fiction,655 7 $aFiction$2fast$0(OCoLC)fst01423787,NONE,**Finished**,NONE,,No,,No,,Chapman and Hall,London,enk,"{'id': 62692902, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-04T14:23:25.027Z', 'updated_at': '2020-07-08T08:36:00.707Z', 'retired_at': '2020-07-08T08:36:00.696Z', 'subject_id': 44378089, 'retirement_reason': 'classification_count'}",vdc_000000033150_title_page.jpg,Cousin Simon [A novel.],014818614,Digital Store 12641.c.24,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014818614,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000033150,,English,,,,Novels
234721607,5,2020-05-04 09:59:34 UTC,44353344,1879,1879,NONE,Fiction,655 7 $aFiction$2fast$0(OCoLC)fst01423787,NONE,**Finished**,NONE,,No,,No,,Chapman and Hall,London,enk,"{'id': 62692902, 'workflow_id': 14449, 'classifications_count': 1, 'created_at': '2020-05-04T14:23:25.027Z', 'updated_at': '2020-07-08T08:36:00.707Z', 'retired_at': '2020-07-08T08:36:00.696Z', 'subject_id': 44378089, 'retirement_reason': 'classification_count'}",vdc_000000033150_title_page.jpg,Cousin Simon [A novel.],014818614,Digital Store 12641.c.24,http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014818614,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000033150,,English,,,,Novels
